GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,1600000US4242928,4242928,United States - Pennsylvania - Levittown CDP,Levittown CDP,52983,19144,10.26,0.10,10.16,5215.4,1884.4
0100000US,,United States,0600000US4209144976,4209144976,"United States - Pennsylvania - Lower Merion township, Montgomery County","Lower Merion township, Montgomery County",57825(r47969),24095,23.83,0.16,23.67,2442.9,1017.9
0100000US,,United States,0600000US4204949548,4204949548,"United States - Pennsylvania - Millcreek township, Erie County","Millcreek township, Erie County",53515,24271,32.79,0.72,32.07,1668.5,756.7
0100000US,,United States,1600000US4260000,4260000,United States - Pennsylvania - Philadelphia city,Philadelphia city,1526006,670171,142.71,8.61,134.10,11379.5,4997.5
0100000US,,United States,1600000US4261000,4261000,United States - Pennsylvania - Pittsburgh city,Pittsburgh city,305704,156165,58.34,2.97,55.37,5521.4,2820.5
0100000US,,United States,1600000US4263624,4263624,United States - Pennsylvania - Reading city,Reading city,88082,34208,10.14,0.26,9.88,8911.9,3461.1
0100000US,,United States,1600000US4269000,4269000,United States - Pennsylvania - Scranton city,Scranton city,76089,33853,25.54,0.23,25.31,3006.4,1337.6
0100000US,,United States,0600000US4204579000,4204579000,"United States - Pennsylvania - Upper Darby township, Delaware County","Upper Darby township, Delaware County",82795,34133,7.83,0.00,7.83,10580.3,4361.8
0100000US,,United States,0400000US44,44,United States - Rhode Island,Rhode Island,1052567,463388,1544.89,511.07,1033.81,1018.1,448.2
0100000US,,United States,1600000US4419180,4419180,United States - Rhode Island - Cranston city,Cranston city,80387,33117,29.94,1.60,28.34,2836.6,1168.6
0100000US,,United States,1600000US4454640,4454640,United States - Rhode Island - Pawtucket city,Pawtucket city,71148,32055,8.97,0.29,8.68,8195.0,3692.2
0100000US,,United States,1600000US4459000,4459000,United States - Rhode Island - Providence city,Providence city,178042,71530,20.57,2.17,18.40,9676.1,3887.5
0100000US,,United States,1600000US4474300,4474300,United States - Rhode Island - Warwick city,Warwick city,82672,37730,49.80,14.76,35.04,2359.0,1076.6
0100000US,,United States,0400000US45,45,United States - South Carolina,South Carolina,4625364,2137683,32020.49,1959.79,30060.70,153.9,71.1
0100000US,,United States,1600000US4513330,4513330,United States - South Carolina - Charleston city,Charleston city,120083,59522,127.49,18.51,108.98,1101.9,546.2
0100000US,,United States,1600000US4516000,4516000,United States - South Carolina - Columbia city,Columbia city,129272,52471,134.93,2.72,132.21,977.8,396.9
0100000US,,United States,1600000US4530850,4530850,United States - South Carolina - Greenville city,Greenville city,58409,29418,28.82,0.15,28.67,2037.4,1026.1
0100000US,,United States,1600000US4548535,4548535,United States - South Carolina - Mount Pleasant town,Mount Pleasant town,67843,30674,52.61,7.52,45.08,1504.9,680.4
0100000US,,United States,1600000US4550875,4550875,United States - South Carolina - North Charleston city,North Charleston city,97471,42219,76.65,3.46,73.19,1331.8,576.9
0100000US,,United States,1600000US4561405,4561405,United States - South Carolina - Rock Hill city,Rock Hill city,66154,29159,35.88,0.16,35.72,1851.9,816.3
0100000US,,United States,0400000US46,46,United States - South Dakota,South Dakota,814180(r48166),363438(r24270),77115.68,1304.68,75811.00,10.7,4.8
0100000US,,United States,1600000US4652980,4652980,United States - South Dakota - Rapid City city,Rapid City city,67956,30254,55.49,0.08,55.41,1226.5,546.0
0100000US,,United States,1600000US4659020,4659020,United States - South Dakota - Sioux Falls city,Sioux Falls city,153888,66283,73.47,0.51,72.96,2109.1,908.4
0100000US,,United States,0400000US47,47,United States - Tennessee,Tennessee,6346105,2812133,42144.25,909.36,41234.90,153.9,68.2
0100000US,,United States,1600000US4703440,4703440,United States - Tennessee - Bartlett city,Bartlett city,54613,20143,26.67,0.02,26.65,2049.2,755.8
0100000US,,United States,1600000US4714000,4714000,United States - Tennessee - Chattanooga city,Chattanooga city,167674,79607,144.55,7.40,137.15,1222.5,580.4
0100000US,,United States,1600000US4715160,4715160,United States - Tennessee - Clarksville city,Clarksville city,132929,54815,98.28,0.68,97.60,1361.9,561.6
0100000US,,United States,1600000US4727740,4727740,United States - Tennessee - Franklin city,Franklin city,62487,25586,41.45,0.22,41.23,1515.5,620.6
0100000US,,United States,1600000US4733280,4733280,United States - Tennessee - Hendersonville city,Hendersonville city,51372,21543,36.93,5.56,31.37,1637.6,686.7
0100000US,,United States,1600000US4737640,4737640,United States - Tennessee - Jackson city,Jackson city,65211,28052,53.73,0.00,53.73,1213.7,522.1
0100000US,,United States,1600000US4738320,4738320,United States - Tennessee - Johnson City city,Johnson City city,63152,30583,43.27,0.33,42.94,1470.6,712.2
0100000US,,United States,1600000US4740000,4740000,United States - Tennessee - Knoxville city,Knoxville city,178874,88009,104.17,5.65,98.52,1815.6,893.3
0100000US,,United States,1600000US4748000,4748000,United States - Tennessee - Memphis city,Memphis city,646889,291883,324.00,8.95,315.05,2053.3,926.5
0100000US,,United States,1600000US4751560,4751560,United States - Tennessee - Murfreesboro city,Murfreesboro city,108755,45500,55.49,0.14,55.35,1965.0,822.1
0100000US,,United States,1700000US4752004,4752004,United States - Tennessee - Nashville-Davidson metropolitan government,Nashville-Davidson metropolitan government,626681,283978,525.94,21.91,504.03,1243.3,563.4
0100000US,,United States,1600000US4752006,4752006,United States - Tennessee - Nashville-Davidson metropolitan government (balance),Nashville-Davidson metropolitan government (balance),601222,272622,496.85,21.72,475.13,1265.4,573.8
0100000US,,United States,0400000US48,48,United States - Texas,Texas,25145561(r48514),9977436(r24592),268596.46,7364.75,261231.71,96.3,38.2
0100000US,,United States,1600000US4801000,4801000,United States - Texas - Abilene city,Abilene city,117063(r49458),47783,112.21,5.41,106.79,1096.2,447.4
0100000US,,United States,1600000US4801924,4801924,United States - Texas - Allen city,Allen city,84246,28877,26.39,0.10,26.29,3204.3,1098.3
0100000US,,United States,1600000US4803000,4803000,United States - Texas - Amarillo city,Amarillo city,190695,80298,101.16,1.69,99.48,1917.0,807.2
0100000US,,United States,1600000US4804000,4804000,United States - Texas - Arlington city,Arlington city,365438,144805,99.62,3.74,95.88,3811.3,1510.2
0100000US,,United States,1600000US4804462,4804462,United States - Texas - Atascocita CDP,Atascocita CDP,65844(r49461),21971(r25462),25.42,0.19,25.23,2609.4,870.7
0100000US,,United States,1600000US4805000,4805000,United States - Texas - Austin city,Austin city,790390(r49462),354241(r25463),305.06,7.17,297.90,2653.2,1189.1
0100000US,,United States,1600000US4806128,4806128,United States - Texas - Baytown city,Baytown city,71802,28998,36.51,1.07,35.44,2025.7,818.1
0100000US,,United States,1600000US4807000,4807000,United States - Texas - Beaumont city,Beaumont city,118296(r49464),50689,85.83,3.03,82.80,1428.7,612.2
0100000US,,United States,1600000US4810768,4810768,United States - Texas - Brownsville city,Brownsville city,175023,53936,146.28,13.95,132.33,1322.6,407.6
0100000US,,United States,1600000US4810912,4810912,United States - Texas - Bryan city,Bryan city,76201,30582,44.50,0.09,44.41,1715.8,688.6
0100000US,,United States,1600000US4813024,4813024,United States - Texas - Carrollton city,Carrollton city,119097,45508,37.11,0.81,36.30,3281.3,1253.8
0100000US,,United States,1600000US4815976,4815976,United States - Texas - College Station city,College Station city,93857,37226,49.62,0.17,49.44,1898.3,752.9
0100000US,,United States,1600000US4816432,4816432,United States - Texas - Conroe city,Conroe city,56207,22215,53.17,0.45,52.71,1066.3,421.4
0100000US,,United States,1600000US4817000,4817000,United States - Texas - Corpus Christi city,Corpus Christi city,305215,125469,489.59,328.98,160.61,1900.3,781.2
0100000US,,United States,1600000US4819000,4819000,United States - Texas - Dallas city,Dallas city,1197816,516639,385.84,45.33,340.52,3517.6,1517.2
0100000US,,United States,1600000US4819972,4819972,United States - Texas - Denton city,Denton city,113383,46211,89.32,1.36,87.95,1289.2,525.4
0100000US,,United States,1600000US4822660,4822660,United States - Texas - Edinburg city,Edinburg city,77100(r49473),25167(r25471),37.69,0.06,37.63,2048.8,668.8
0100000US,,United States,1600000US4824000,4824000,United States - Texas - El Paso city,El Paso city,649121,227605,256.26,1.02,255.24,2543.2,891.7
0100000US,,United States,1600000US4824768,4824768,United States - Texas - Euless city,Euless city,51277,23447,16.29,0.08,16.21,3162.8,1446.2
0100000US,,United States,1600000US4826232,4826232,United States - Texas - Flower Mound town,Flower Mound town,64669,21570,43.90,2.52,41.39,1562.5,521.2
0100000US,,United States,1600000US4827000,4827000,United States - Texas - Fort Worth city,Fort Worth city,741206,291086,347.86,8.04,339.82,2181.2,856.6
0100000US,,United States,1600000US4827684,4827684,United States - Texas - Frisco city,Frisco city,116989,42306,62.38,0.58,61.80,1892.9,684.5
0100000US,,United States,1600000US4829000,4829000,United States - Texas - Garland city,Garland city,226876,80834,57.22,0.13,57.08,3974.4,1416.0
0100000US,,United States,1600000US4830464,4830464,United States - Texas - Grand Prairie city,Grand Prairie city,175396,62424,81.09,8.99,72.10,2432.5,865.7
0100000US,,United States,1600000US4832372,4832372,United States - Texas - Harlingen city,Harlingen city,64849,25585,40.30,0.49,39.81,1629.1,642.7
0100000US,,United States,1600000US4835000,4835000,United States - Texas - Houston city,Houston city,2099451(r49478),892646(r25475),627.50,27.91,599.59,3501.5,1488.8
0100000US,,United States,1600000US4837000,4837000,United States - Texas - Irving city,Irving city,216290,91128,68.02,1.00,67.02,3227.4,1359.8
0100000US,,United States,1600000US4839148,4839148,United States - Texas - Killeen city,Killeen city,127921,53913,54.25,0.67,53.58,2387.5,1006.2
0100000US,,United States,1600000US4841464,4841464,United States - Texas - Laredo city,Laredo city,236091,68610,90.36,1.45,88.91,2655.4,771.7
0100000US,,United States,1600000US4841980,4841980,United States - Texas - League City city,League City city,83560,32119,53.00,1.71,51.29,1629.2,626.2
0100000US,,United States,1600000US4842508,4842508,United States - Texas - Lewisville city,Lewisville city,95290,39967,42.47,6.07,36.40,2618.0,1098.1
0100000US,,United States,1600000US4843888,4843888,United States - Texas - Longview city,Longview city,80455,32751,55.80,0.11,55.69,1444.6,588.1
0100000US,,United States,1600000US4845000,4845000,United States - Texas - Lubbock city,Lubbock city,229573,95926,123.55,1.14,122.41,1875.4,783.6
0100000US,,United States,1600000US4845384,4845384,United States - Texas - McAllen city,McAllen city,129877(r49482),45862(r25479),48.65,0.30,48.34,2686.5,948.7
0100000US,,United States,1600000US4845744,4845744,United States - Texas - McKinney city,McKinney city,131117,47915,62.88,0.67,62.21,2107.7,770.2
0100000US,,United States,1600000US4846452,4846452,United States - Texas - Mansfield city,Mansfield city,56368,19106,36.43,0.04,36.38,1549.3,525.1
0100000US,,United States,1600000US4847892,4847892,United States - Texas - Mesquite city,Mesquite city,139824,51952,46.17,0.15,46.02,3038.3,1128.9
0100000US,,United States,1600000US4848072,4848072,United States - Texas - Midland city,Midland city,111147,44708,72.24,0.17,72.07,1542.2,620.3
0100000US,,United States,1600000US4848768,4848768,United States - Texas - Mission city,Mission city,77058(r49484),27291(r25480),34.06,0.07,33.99,2266.9,802.9
0100000US,,United States,1600000US4848804,4848804,United States - Texas - Missouri City city,Missouri City city,67358,23374,29.80,1.38,28.42,2370.4,822.5
