GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,1600000US0251960,0251960,United States - Alaska - Nabesna CDP,Nabesna CDP,$-,$**
0100000US,,United States,1600000US0252845,0252845,United States - Alaska - Naukati Bay CDP,Naukati Bay CDP,$(X),$(X)
0100000US,,United States,1600000US0258330,0258330,United States - Alaska - Oscarville CDP,Oscarville CDP,$(X),$(X)
0100000US,,United States,1600000US0259320,0259320,United States - Alaska - Paxson CDP,Paxson CDP,$-,$**
0100000US,,United States,1600000US0260460,0260460,United States - Alaska - Petersville CDP,Petersville CDP,$-,$**
0100000US,,United States,1600000US0261190,0261190,United States - Alaska - Point Baker CDP,Point Baker CDP,$-,$**
0100000US,,United States,1600000US0261825,0261825,United States - Alaska - Point Possession CDP,Point Possession CDP,$-,$**
0100000US,,United States,1600000US0262125,0262125,United States - Alaska - Pope-Vannoy Landing CDP,Pope-Vannoy Landing CDP,$-,$**
0100000US,,United States,1600000US0262285,0262285,United States - Alaska - Portage Creek CDP,Portage Creek CDP,$-,$**
0100000US,,United States,1600000US0263170,0263170,United States - Alaska - Port Clarence CDP,Port Clarence CDP,$-,$**
0100000US,,United States,1600000US0263870,0263870,United States - Alaska - Port Protection CDP,Port Protection CDP,$(X),$(X)
0100000US,,United States,1600000US0264380,0264380,United States - Alaska - Prudhoe Bay CDP,Prudhoe Bay CDP,$-,$**
0100000US,,United States,1600000US0264820,0264820,United States - Alaska - Rampart CDP,Rampart CDP,$-,$**
0100000US,,United States,1600000US0264980,0264980,United States - Alaska - Red Dog Mine CDP,Red Dog Mine CDP,$-,$**
0100000US,,United States,1600000US0268670,0268670,United States - Alaska - Shageluk city,Shageluk city,$(X),$(X)
0100000US,,United States,1600000US0273950,0273950,United States - Alaska - Sunrise CDP,Sunrise CDP,$-,$**
0100000US,,United States,1600000US0274340,0274340,United States - Alaska - Susitna CDP,Susitna CDP,$-,$**
0100000US,,United States,1600000US0278297,0278297,United States - Alaska - Tolsona CDP,Tolsona CDP,$-,$**
0100000US,,United States,1600000US0278350,0278350,United States - Alaska - Tonsina CDP,Tonsina CDP,$-,$**
0100000US,,United States,1600000US0284000,0284000,United States - Alaska - Whale Pass CDP,Whale Pass CDP,$-,$**
0100000US,,United States,1600000US0284120,0284120,United States - Alaska - Whitestone CDP,Whitestone CDP,$-,$**
0100000US,,United States,1600000US0284200,0284200,United States - Alaska - Whitestone Logging Camp CDP,Whitestone Logging Camp CDP,$-,$**
0100000US,,United States,1600000US0285290,0285290,United States - Alaska - Willow Creek CDP,Willow Creek CDP,$-,$**
0100000US,,United States,1600000US0285610,0285610,United States - Alaska - Wiseman CDP,Wiseman CDP,$-,$**
0100000US,,United States,1600000US0400940,0400940,United States - Arizona - Ak Chin CDP,Ak Chin CDP,$-,$**
0100000US,,United States,1600000US0401170,0401170,United States - Arizona - Alamo Lake CDP,Alamo Lake CDP,$-,$**
0100000US,,United States,1600000US0401570,0401570,United States - Arizona - Ali Chukson CDP,Ali Chukson CDP,$(X),$(X)
0100000US,,United States,1600000US0401620,0401620,United States - Arizona - Ali Molina CDP,Ali Molina CDP,$(X),$(X)
0100000US,,United States,1600000US0401920,0401920,United States - Arizona - Alpine CDP,Alpine CDP,$(X),$(X)
0100000US,,United States,1600000US0402270,0402270,United States - Arizona - Anegam CDP,Anegam CDP,$(X),$(X)
0100000US,,United States,1600000US0404020,0404020,United States - Arizona - Arlington CDP,Arlington CDP,$(X),$(X)
0100000US,,United States,1600000US0404930,0404930,United States - Arizona - Aztec CDP,Aztec CDP,$-,$**
0100000US,,United States,1600000US0405450,0405450,United States - Arizona - Bear Flat CDP,Bear Flat CDP,$-,$**
0100000US,,United States,1600000US0405495,0405495,United States - Arizona - Beaver Valley CDP,Beaver Valley CDP,$(X),$(X)
0100000US,,United States,1600000US0408020,0408020,United States - Arizona - Buckshot CDP,Buckshot CDP,$-,$**
0100000US,,United States,1600000US0409580,0409580,United States - Arizona - Campo Bonito CDP,Campo Bonito CDP,$-,$**
0100000US,,United States,1600000US0411580,0411580,United States - Arizona - Central CDP,Central CDP,$(X),$(X)
0100000US,,United States,1600000US0412150,0412150,United States - Arizona - Charco CDP,Charco CDP,$(X),$(X)
0100000US,,United States,1600000US0412560,0412560,United States - Arizona - Chiawuli Tak CDP,Chiawuli Tak CDP,$-,$**
0100000US,,United States,1600000US0414030,0414030,United States - Arizona - Clay Springs CDP,Clay Springs CDP,$(X),$(X)
0100000US,,United States,1600000US0415080,0415080,United States - Arizona - Comobabi CDP,Comobabi CDP,$-,$**
0100000US,,United States,1600000US0415150,0415150,United States - Arizona - Concho CDP,Concho CDP,$-,$**
0100000US,,United States,1600000US0415600,0415600,United States - Arizona - Copper Hill CDP,Copper Hill CDP,$-,$**
0100000US,,United States,1600000US0416830,0416830,United States - Arizona - Cowlic CDP,Cowlic CDP,$-,$**
0100000US,,United States,1600000US0417810,0417810,United States - Arizona - Cutter CDP,Cutter CDP,$-,$**
0100000US,,United States,1600000US0418490,0418490,United States - Arizona - Del Muerto CDP,Del Muerto CDP,$(X),$(X)
0100000US,,United States,1600000US0423955,0423955,United States - Arizona - Flowing Springs CDP,Flowing Springs CDP,$(X),$(X)
0100000US,,United States,1600000US0425650,0425650,United States - Arizona - Franklin CDP,Franklin CDP,$(X),$(X)
0100000US,,United States,1600000US0426070,0426070,United States - Arizona - Gadsden CDP,Gadsden CDP,$(X),$(X)
0100000US,,United States,1600000US0426780,0426780,United States - Arizona - Geronimo Estates CDP,Geronimo Estates CDP,$-,$**
0100000US,,United States,1600000US0428985,0428985,United States - Arizona - Grand Canyon West CDP,Grand Canyon West CDP,$-,$**
0100000US,,United States,1600000US0429850,0429850,United States - Arizona - Greer CDP,Greer CDP,$-,$**
0100000US,,United States,1600000US0430840,0430840,United States - Arizona - Haigler Creek CDP,Haigler Creek CDP,$-,$**
0100000US,,United States,1600000US0430850,0430850,United States - Arizona - Haivana Nakya CDP,Haivana Nakya CDP,$(X),$(X)
0100000US,,United States,1600000US0431182,0431182,United States - Arizona - Hard Rock CDP,Hard Rock CDP,$(X),$(X)
0100000US,,United States,1600000US0434700,0434700,United States - Arizona - Hunter Creek CDP,Hunter Creek CDP,$-,$**
0100000US,,United States,1600000US0436010,0436010,United States - Arizona - Jakes Corner CDP,Jakes Corner CDP,$(X),$(X)
0100000US,,United States,1600000US0436780,0436780,United States - Arizona - Kaka CDP,Kaka CDP,$(X),$(X)
0100000US,,United States,1600000US0437130,0437130,United States - Arizona - Keams Canyon CDP,Keams Canyon CDP,$(X),$(X)
0100000US,,United States,1600000US0438530,0438530,United States - Arizona - Kohatk CDP,Kohatk CDP,$-,$**
0100000US,,United States,1600000US0438600,0438600,United States - Arizona - Kohls Ranch CDP,Kohls Ranch CDP,$(X),$(X)
0100000US,,United States,1600000US0438950,0438950,United States - Arizona - Ko Vaya CDP,Ko Vaya CDP,$-,$**
0100000US,,United States,1600000US0441470,0441470,United States - Arizona - Littlefield CDP,Littlefield CDP,$-,$**
0100000US,,United States,1600000US0442590,0442590,United States - Arizona - Low Mountain CDP,Low Mountain CDP,$(X),$(X)
0100000US,,United States,1600000US0442940,0442940,United States - Arizona - Lupton CDP,Lupton CDP,$-,$**
0100000US,,United States,1600000US0443150,0443150,United States - Arizona - McConnico CDP,McConnico CDP,$-,$**
0100000US,,United States,1600000US0445275,0445275,United States - Arizona - Mead Ranch CDP,Mead Ranch CDP,$-,$**
0100000US,,United States,1600000US0447190,0447190,United States - Arizona - Moccasin CDP,Moccasin CDP,$-,$**
0100000US,,United States,1600000US0447495,0447495,United States - Arizona - Mojave Ranch Estates CDP,Mojave Ranch Estates CDP,$(X),$(X)
0100000US,,United States,1600000US0448170,0448170,United States - Arizona - Munds Park CDP,Munds Park CDP,$(X),$(X)
0100000US,,United States,1600000US0449710,0449710,United States - Arizona - Nolic CDP,Nolic CDP,$-,$**
0100000US,,United States,1600000US0450340,0450340,United States - Arizona - Nutrioso CDP,Nutrioso CDP,$-,$**
0100000US,,United States,1600000US0450620,0450620,United States - Arizona - Oatman CDP,Oatman CDP,$(X),$(X)
0100000US,,United States,1600000US0451775,0451775,United States - Arizona - Oxbow Estates CDP,Oxbow Estates CDP,$(X),$(X)
0100000US,,United States,1600000US0452230,0452230,United States - Arizona - Palominas CDP,Palominas CDP,$(X),$(X)
0100000US,,United States,1600000US0455630,0455630,United States - Arizona - Pinal CDP,Pinal CDP,$(X),$(X)
0100000US,,United States,1600000US0455845,0455845,United States - Arizona - Pine Lake CDP,Pine Lake CDP,$-,$**
0100000US,,United States,1600000US0459900,0459900,United States - Arizona - Rillito CDP,Rillito CDP,$-,$**
0100000US,,United States,1600000US0460770,0460770,United States - Arizona - Rock House CDP,Rock House CDP,$-,$**
